epoch,accuracy,loss,val_accuracy,val_loss
0,0.8947064876556396,0.3480614721775055,NA,NA
1,0.9535951614379883,0.14159280061721802,NA,NA
2,0.9615258574485779,0.11197131872177124,NA,NA
3,0.9665789008140564,0.09460993111133575,NA,NA
4,0.9684222340583801,0.09038664400577545,NA,NA
5,0.9721471667289734,0.07822252810001373,NA,NA
6,0.9729371666908264,0.07630374282598495,NA,NA
7,0.9746087789535522,0.07134916633367538,NA,NA
8,0.9748263359069824,0.07044751942157745,NA,NA
9,0.9746087789535522,0.07127117365598679,NA,NA
10,0.9771963953971863,0.062391579151153564,NA,NA
11,0.9756202101707458,0.0674770325422287,NA,NA
12,0.9769635796546936,0.06402545422315598,NA,NA
13,0.9787115454673767,0.06003854051232338,NA,NA
14,0.9791924357414246,0.05743198096752167,NA,NA
15,0.9787764549255371,0.05915864184498787,NA,NA
16,0.9790397882461548,0.058642931282520294,NA,NA
17,0.9795893430709839,0.0566970594227314,NA,NA
18,0.9803221225738525,0.05471678450703621,NA,NA
19,0.9799137711524963,0.05483623221516609,NA,NA
20,0.9797610640525818,0.05554254353046417,NA,NA
21,0.9778108596801758,0.06145292520523071,NA,NA
22,0.9806618094444275,0.0534527488052845,NA,NA
23,0.9800931215286255,0.054150015115737915,NA,NA
24,0.9803221225738525,0.05411481484770775,NA,NA
25,0.9801999926567078,0.053789179772138596,NA,NA
26,0.9798679351806641,0.055309273302555084,NA,NA
27,0.9797992706298828,0.05579034239053726,NA,NA
28,0.9791504740715027,0.057350751012563705,NA,NA
29,0.9806885123252869,0.0524289496243,NA,NA
30,0.9803564548492432,0.054291922599077225,NA,NA
31,0.9809060096740723,0.052246201783418655,NA,NA
32,0.9786275625228882,0.0596223808825016,NA,NA
33,0.9809136986732483,0.0525008887052536,NA,NA
34,0.9798564910888672,0.056676726788282394,NA,NA
35,0.9804289937019348,0.05422763526439667,NA,NA
36,0.9806579947471619,0.05340924113988876,NA,NA
37,0.980238139629364,0.05495072156190872,NA,NA
38,0.980138897895813,0.05450718477368355,NA,NA
39,0.9796007871627808,0.057074010372161865,NA,NA
40,0.9808487892150879,0.05246659740805626,NA,NA
41,0.9797419905662537,0.05636125057935715,NA,NA
42,0.9800511598587036,0.05514286831021309,NA,NA
43,0.979608416557312,0.05674242228269577,NA,NA
44,0.979638934135437,0.05582910403609276,NA,NA
45,0.9804823994636536,0.054663531482219696,NA,NA
46,0.9801809191703796,0.05464823544025421,NA,NA
47,0.9799099564552307,0.05653049424290657,NA,NA
48,0.980009138584137,0.05572051927447319,NA,NA
49,0.9802610278129578,0.05436829477548599,NA,NA
