pktTotalSize,pktMeanSize,pktVarSize,pktMinSize,serviceType,windowTotal,windowMean,windowVar,windowMin,windowMax,numberOfRstFlag,numberOfPshFlag,numberOfKeepAlive,numberOfSyncFlood,LABEL
6120,765.0,362.0,40,32121,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5103,637.875,362.0,40,32122,28461,3557.625,6666.0,219,26883,0,2,0,0,Amazon
6120,765.0,362.0,40,32123,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32124,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5382,672.75,362.0,40,32125,66457,8307.125,16351.0,131,65535,0,2,0,0,Amazon
5382,672.75,362.0,40,32127,66454,8306.75,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32128,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
5521,690.125,450.75,40,32132,28437,3554.625,6666.0,219,26883,0,3,0,0,Amazon
5471,683.875,438.25,40,32133,28437,3554.625,6666.0,219,26883,0,3,0,0,Amazon
6573,821.625,340.0,40,32135,11254,1406.75,1941.5,424,8190,0,1,0,0,Amazon
6120,765.0,362.0,40,32136,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32137,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
5487,685.875,374.5,40,32140,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
5487,685.875,374.5,40,32139,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
5487,685.875,374.5,40,32138,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
6120,765.0,362.0,40,32141,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32142,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6300,787.5,362.0,40,32156,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5103,637.875,362.0,40,32157,28459,3557.375,6666.0,219,26883,0,2,0,0,Amazon
5110,638.75,363.75,40,32158,26932,3366.5,6719.0,7,26883,0,4,0,0,Amazon
5487,685.875,374.5,40,32160,67362,8420.25,16318.5,261,65535,0,3,0,0,Amazon
6264,783.0,359.0,40,32163,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6264,783.0,359.0,40,32164,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6264,783.0,359.0,40,32162,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6264,783.0,359.0,40,32165,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6417,802.125,340.0,40,32161,237531,29691.375,6143.25,8190,32763,0,1,0,0,Amazon
6264,783.0,359.0,40,32166,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6573,821.625,340.0,40,32167,11254,1406.75,1941.5,424,8190,0,1,0,0,Amazon
6010,751.25,427.5,40,32169,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
6079,759.875,363.0,40,32168,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
5465,683.125,374.5,40,32170,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
5154,644.25,384.75,40,32172,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6504,813.0,362.0,40,32173,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
6120,765.0,362.0,40,32175,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
5103,637.875,371.75,40,32176,28444,3555.5,6666.0,219,26883,0,2,0,0,Amazon
5103,637.875,371.75,40,32177,28448,3556.0,6666.0,219,26883,0,2,0,0,Amazon
5103,637.875,362.0,40,32178,28461,3557.625,6666.0,219,26883,0,2,0,0,Amazon
5425,678.125,362.0,40,32179,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32181,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32180,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
5382,672.75,718.0,40,32183,66458,8307.25,16351.0,131,65535,0,4,0,0,Amazon
5382,672.75,362.0,40,32182,66454,8306.75,16351.0,131,65535,0,2,0,0,Amazon
5382,672.75,362.0,40,32184,66457,8307.125,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32185,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32186,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
5142,642.75,427.5,40,32187,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
6120,765.0,362.0,40,32188,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32189,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32190,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32191,29622,3702.75,7285.0,60,29200,0,1,0,0,Amazon
6188,773.5,362.0,40,32193,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32194,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6181,772.625,362.0,40,32143,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32195,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32196,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32197,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32198,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32199,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32200,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32201,66455,8306.875,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,693.0,40,32202,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32203,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32204,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32206,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32205,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6573,821.625,340.0,40,32207,11254,1406.75,1941.5,424,8190,0,1,0,0,Amazon
11398,1424.75,102.5,1066,32308,1408,176.0,0.0,176,176,0,1,0,0,Amazon
1126,140.75,129.75,40,32269,15112,1889.0,0.0,1889,1889,0,6,0,0,Amazon
959,119.875,75.25,40,32316,7758,969.75,19.75,933,1012,0,3,0,0,Amazon
6363,795.375,516.5,40,32310,4027,503.375,22.75,435,526,0,3,0,0,Amazon
884,110.5,119.5,40,32262,5364,670.5,4.25,660,677,0,2,0,0,Amazon
5052,631.5,362.0,40,32296,28760,3595.0,6666.0,219,26883,0,1,0,0,Amazon
5052,631.5,362.0,40,32290,29199,3649.875,6666.0,219,26883,0,1,0,0,Amazon
5052,631.5,362.0,40,32280,30027,3753.375,6666.0,219,26883,0,1,0,0,Amazon
5103,637.875,371.75,40,32318,28450,3556.25,6666.0,219,26883,0,2,0,0,Amazon
5103,637.875,362.0,40,32319,28461,3557.625,6666.0,219,26883,0,2,0,0,Amazon
9733,1216.625,417.75,223,32305,1367,170.875,0.75,169,172,0,3,0,0,Amazon
10027,1253.375,445.25,98,32309,1440,180.0,0.0,180,180,0,2,0,0,Amazon
5547,693.375,586.25,40,32265,1114,139.25,1.5,135,141,0,4,0,0,Amazon
1636,204.5,303.5,40,32266,14652,1831.5,85.0,1656,1996,0,4,0,0,Amazon
11279,1409.875,132.25,947,32277,2488,311.0,0.0,311,311,0,2,0,0,Amazon
10372,1296.5,359.0,40,32297,1184,148.0,0.0,148,148,0,2,0,0,Amazon
5103,637.875,371.75,40,32320,28458,3557.25,6666.0,219,26883,0,2,0,0,Amazon
3281,410.125,362.0,40,32307,27669,3458.625,6693.25,110,26883,0,2,0,0,Amazon
5382,672.75,362.0,40,32323,66457,8307.125,16351.0,131,65535,0,2,0,0,Amazon
5382,672.75,362.0,40,32294,66456,8307.0,16351.0,131,65535,0,2,0,0,Amazon
5382,672.75,362.0,40,32295,66454,8306.75,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32324,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
4684,585.5,362.0,40,32325,29624,3703.0,7285.0,60,29200,0,1,0,0,Amazon
3279,409.875,366.0,40,32304,59852,7481.5,7240.75,237,29200,0,1,0,0,Amazon
5403,675.375,362.0,40,32276,66454,8306.75,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32292,67522,8440.25,16318.5,261,65535,0,2,0,0,Amazon
5399,674.875,362.0,40,32273,66454,8306.75,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32300,67383,8422.875,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32301,67372,8421.5,16318.5,261,65535,0,2,0,0,Amazon
6504,813.0,362.0,40,32286,67388,8423.5,16318.5,261,65535,0,3,0,0,Amazon
6195,774.375,362.0,40,32267,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
6195,774.375,362.0,40,32270,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
6195,774.375,362.0,40,32268,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
5752,719.0,366.0,40,32274,27679,3459.875,6693.25,110,26883,0,1,0,0,Amazon
6010,751.25,366.0,40,32275,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
6120,765.0,362.0,40,32327,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32328,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32326,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
1027,128.375,176.75,40,32287,42728,5341.0,139.0,5048,5604,0,1,0,0,Amazon
6188,773.5,362.0,40,32331,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5103,637.875,371.75,40,32332,28484,3560.5,6666.0,219,26883,0,2,0,0,Amazon
