epoch,accuracy,loss,val_accuracy,val_loss
0,0.7940398454666138,0.7640125751495361,NA,NA
1,0.9205144047737122,0.2774479389190674,NA,NA
2,0.9382712841033936,0.21127204596996307,NA,NA
3,0.9477927684783936,0.17343670129776,NA,NA
4,0.9540744423866272,0.15181846916675568,NA,NA
5,0.956893801689148,0.13998298346996307,NA,NA
6,0.9609991312026978,0.12467887997627258,NA,NA
7,0.9633733034133911,0.11778063327074051,NA,NA
8,0.9660442471504211,0.10518839955329895,NA,NA
9,0.9667119979858398,0.10616809129714966,NA,NA
10,0.9684184789657593,0.09574657678604126,NA,NA
11,0.970891535282135,0.08819423615932465,NA,NA
12,0.9719797372817993,0.08644022792577744,NA,NA
13,0.9715345501899719,0.0872054174542427,NA,NA
14,0.971386194229126,0.08615858852863312,NA,NA
15,0.9752442240715027,0.07569096982479095,NA,NA
16,0.9748237729072571,0.07503680884838104,NA,NA
17,0.9741807579994202,0.07644519954919815,NA,NA
18,0.975986123085022,0.07116515189409256,NA,NA
19,0.9765796661376953,0.06788188219070435,NA,NA
20,0.9765055179595947,0.07196856290102005,NA,NA
21,0.978508710861206,0.0654727891087532,NA,NA
22,0.9783850908279419,0.0641985535621643,NA,NA
23,0.9791764616966248,0.06195826083421707,NA,NA
24,0.9785829186439514,0.062230028212070465,NA,NA
25,0.9803882837295532,0.0567697137594223,NA,NA
26,0.9765302538871765,0.06332162767648697,NA,NA
27,0.9770743250846863,0.06392661482095718,NA,NA
28,0.9794732332229614,0.057129841297864914,NA,NA
29,0.9798194766044617,0.05761759728193283,NA,NA
30,0.9806603193283081,0.05590977147221565,NA,NA
31,0.9802893400192261,0.054179854691028595,NA,NA
32,0.9797452688217163,0.05742840841412544,NA,NA
33,0.9794979691505432,0.05783846229314804,NA,NA
34,0.9813775420188904,0.056042250245809555,NA,NA
35,0.983232319355011,0.048265524208545685,NA,NA
36,0.9813775420188904,0.05344565212726593,NA,NA
37,0.9817731976509094,0.050230786204338074,NA,NA
38,0.9838011860847473,0.04521063715219498,NA,NA
39,0.9778162240982056,0.06422127038240433,NA,NA
40,0.9797947406768799,0.05533068999648094,NA,NA
41,0.981451690196991,0.05324319005012512,NA,NA
42,0.9828613996505737,0.04998118802905083,NA,NA
43,0.9841968417167664,0.04552990943193436,NA,NA
44,0.9812785983085632,0.05499714985489845,NA,NA
45,0.9835291504859924,0.04712264984846115,NA,NA
46,0.9820204973220825,0.04595956951379776,NA,NA
47,0.9800667762756348,0.06255905330181122,NA,NA
48,0.9849388003349304,0.045372456312179565,NA,NA
49,0.9814764261245728,0.04847244545817375,NA,NA
