epoch,accuracy,loss,val_accuracy,val_loss
0,0.9827455878257751,0.05728713795542717,NA,NA
1,0.9880886673927307,0.03550007566809654,NA,NA
2,0.9904396533966064,0.028756579384207726,NA,NA
3,0.9910922646522522,0.025494294241070747,NA,NA
4,0.9919586181640625,0.023022491484880447,NA,NA
5,0.9924814701080322,0.02135397307574749,NA,NA
6,0.9925616383552551,0.02076628804206848,NA,NA
7,0.9931150078773499,0.019158421084284782,NA,NA
8,0.9933401942253113,0.018434640020132065,NA,NA
9,0.993431806564331,0.01791435480117798,NA,NA
10,0.9937561750411987,0.016965247690677643,NA,NA
11,0.9938821196556091,0.016702938824892044,NA,NA
12,0.9939279556274414,0.016300538554787636,NA,NA
13,0.9940310120582581,0.016046177595853806,NA,NA
14,0.9942370653152466,0.01546502485871315,NA,NA
15,0.9941912889480591,0.015355006791651249,NA,NA
16,0.9944355487823486,0.015000497922301292,NA,NA
17,0.9944851398468018,0.014572279527783394,NA,NA
18,0.9945347905158997,0.014284782111644745,NA,NA
19,0.994592010974884,0.01435922272503376,NA,NA
20,0.9946798086166382,0.01408934686332941,NA,NA
21,0.9948095679283142,0.014083669520914555,NA,NA
22,0.994771420955658,0.013846101239323616,NA,NA
23,0.9947943091392517,0.013610532507300377,NA,NA
24,0.9947255849838257,0.013696799986064434,NA,NA
25,0.9950271248817444,0.01311058271676302,NA,NA
26,0.9950079917907715,0.013234799727797508,NA,NA
27,0.9950156211853027,0.012936444953083992,NA,NA
28,0.9951415657997131,0.01277878973633051,NA,NA
29,0.9951568841934204,0.012921218760311604,NA,NA
