epoch,accuracy,loss,val_accuracy,val_loss
0,0.9784345030784607,0.08447544276714325,NA,NA
1,0.985878586769104,0.05218896269798279,NA,NA
2,0.987288236618042,0.04370225593447685,NA,NA
3,0.9882032871246338,0.039987288415431976,NA,NA
4,0.9891183376312256,0.03830363601446152,NA,NA
5,0.989959180355072,0.03446250408887863,NA,NA
6,0.9899839162826538,0.03336198255419731,NA,NA
7,0.9901323318481445,0.03176809474825859,NA,NA
8,0.9908247590065002,0.030089901760220528,NA,NA
9,0.9907011389732361,0.029308214783668518,NA,NA
10,0.9912946820259094,0.0287273358553648,NA,NA
11,0.9911710023880005,0.027638865634799004,NA,NA
12,0.991344153881073,0.027022387832403183,NA,NA
13,0.9919624328613281,0.02535489946603775,NA,NA
14,0.9916409254074097,0.026650656014680862,NA,NA
15,0.9926548600196838,0.023908451199531555,NA,NA
16,0.9925559759140015,0.023333784192800522,NA,NA
17,0.9919871687889099,0.024354392662644386,NA,NA
18,0.9929021596908569,0.021501319482922554,NA,NA
19,0.9925807118415833,0.023779382929205894,NA,NA
20,0.9928527474403381,0.022709134966135025,NA,NA
21,0.9930505752563477,0.021217210218310356,NA,NA
22,0.9929268956184387,0.020741308107972145,NA,NA
23,0.9935204386711121,0.02017246186733246,NA,NA
24,0.9934710264205933,0.019906040281057358,NA,NA
25,0.9933473467826843,0.020056825131177902,NA,NA
26,0.993495762348175,0.019714191555976868,NA,NA
27,0.9936935901641846,0.01991940476000309,NA,NA
28,0.9939408898353577,0.01927109807729721,NA,NA
29,0.9936688542366028,0.01868962123990059,NA,NA
30,0.9937183260917664,0.018905524164438248,NA,NA
31,0.9938419461250305,0.01856207102537155,NA,NA
32,0.9937183260917664,0.019630059599876404,NA,NA
33,0.9941387176513672,0.0176578126847744,NA,NA
34,0.9943366050720215,0.018070166930556297,NA,NA
35,0.9937430620193481,0.01894589513540268,NA,NA
36,0.9945591688156128,0.01741197146475315,NA,NA
37,0.9944354891777039,0.017000265419483185,NA,NA
38,0.9940645694732666,0.01729959063231945,NA,NA
39,0.9949548840522766,0.01618894189596176,NA,NA
40,0.9943366050720215,0.017266226932406425,NA,NA
41,0.9941881895065308,0.016893934458494186,NA,NA
42,0.9943613409996033,0.016936471685767174,NA,NA
43,0.9941881895065308,0.01784168928861618,NA,NA
44,0.9948312044143677,0.016115397214889526,NA,NA
45,0.9944354891777039,0.016045449301600456,NA,NA
46,0.9949301481246948,0.01611170917749405,NA,NA
47,0.9948806762695312,0.015743790194392204,NA,NA
48,0.9949548840522766,0.01609055884182453,NA,NA
49,0.9945096969604492,0.016349930316209793,NA,NA
50,0.9942129254341125,0.015355060808360577,NA,NA
51,0.9946333765983582,0.015964649617671967,NA,NA
52,0.9948312044143677,0.015355060808360577,NA,NA
53,0.9948806762695312,0.015207372605800629,NA,NA
54,0.9944602251052856,0.016405753791332245,NA,NA
55,0.9950290322303772,0.015451453626155853,NA,NA
56,0.9946086406707764,0.015552042983472347,NA,NA
57,0.9948064684867859,0.01494373194873333,NA,NA
58,0.9951774477958679,0.014587205834686756,NA,NA
59,0.994534432888031,0.016878554597496986,NA,NA
60,0.9953011274337769,0.014319131150841713,NA,NA
61,0.9950785040855408,0.015173929743468761,NA,NA
62,0.9947817325592041,0.015399424359202385,NA,NA
63,0.9951527118682861,0.014621961861848831,NA,NA
64,0.9952269196510315,0.014328655786812305,NA,NA
65,0.9947817325592041,0.014821622520685196,NA,NA
66,0.9954494833946228,0.01403592899441719,NA,NA
67,0.9954000115394592,0.013956445269286633,NA,NA
68,0.9948064684867859,0.014749088324606419,NA,NA
69,0.9950043559074402,0.014210068620741367,NA,NA
70,0.995053768157959,0.014387596398591995,NA,NA
71,0.9954989552497864,0.014253905974328518,NA,NA
72,0.9950785040855408,0.014410953968763351,NA,NA
73,0.9952516555786133,0.0135583421215415,NA,NA
74,0.9955236911773682,0.013541685417294502,NA,NA
75,0.9951032400131226,0.01412988267838955,NA,NA
76,0.9954000115394592,0.013708054088056087,NA,NA
77,0.9950785040855408,0.01426633819937706,NA,NA
78,0.9952763915061951,0.013991151936352253,NA,NA
79,0.9957462549209595,0.013628320768475533,NA,NA
80,0.9956473112106323,0.01342026237398386,NA,NA
81,0.9955978989601135,0.013471541926264763,NA,NA
82,0.9956720471382141,0.013279485516250134,NA,NA
83,0.9948312044143677,0.014418361708521843,NA,NA
84,0.9951527118682861,0.01393824815750122,NA,NA
85,0.9955236911773682,0.01401987299323082,NA,NA
86,0.9956720471382141,0.012422315776348114,NA,NA
87,0.9955978989601135,0.014006776735186577,NA,NA
88,0.9952516555786133,0.013316971249878407,NA,NA
89,0.9957462549209595,0.013062815181910992,NA,NA
90,0.9958451986312866,0.012907526455819607,NA,NA
91,0.9952763915061951,0.013438253663480282,NA,NA
92,0.9954742193222046,0.013565274886786938,NA,NA
93,0.9958204627037048,0.013582879677414894,NA,NA
94,0.9956473112106323,0.013059288263320923,NA,NA
95,0.9959688186645508,0.012663417495787144,NA,NA
96,0.99554842710495,0.012695295736193657,NA,NA
97,0.99554842710495,0.013166735880076885,NA,NA
98,0.9954494833946228,0.012828601524233818,NA,NA
99,0.9957709908485413,0.01252469141036272,NA,NA
